srtn_cd,alias,bas_dt,report_type,asset_class,weight_pct,amount_mkrw,source_doc,fetched_at
K55301D51271,TDF2050_Ce,2025-07-19,quarterly_bs,dividend_receivable,1.0417,2650919,dis_proframe:DISFundSetRptBSSO:2RF0100,2026-05-29T03:51:35.315686+00:00
K55301D51271,TDF2050_Ce,2025-07-19,quarterly_bs,profit_bnd,98.9583,251824714,dis_proframe:DISFundSetRptBSSO:2RF0100,2026-05-29T03:51:35.315686+00:00
